COR001;01;CORTAR              ;1FU6031001A20  ;5175
COR001;01;CORTAR              ;1FU6031001A40  ;5176
COR001;01;CORTAR              ;1FU6031001A42  ;5177
COR001;01;CORTAR              ;1FU6031001A50  ;5178
COR001;01;CORTAR              ;1FU6051000A20  ;5179
COR001;01;CORTAR              ;1FU6511000001  ;5180
COR001;01;CORTAR              ;1FU6511001001  ;5181
COR001;01;CORTAR              ;1FU6541000A03  ;5182
COR001;01;CORTAR              ;1FU6541000A20  ;5183
COR001;01;CORTAR              ;1FU6541000A50  ;5184
COR001;01;CORTAR              ;1FU6561000A03  ;5185
COR001;01;CORTAR              ;1FU6561000A20  ;5186
COR001;01;CORTAR              ;1FU6561000A40  ;5187
COR001;01;CORTAR              ;1FU6561000A42  ;5188
COR001;01;CORTAR              ;1FU6561000A50  ;5189
COR001;01;CORTAR              ;1FU6561001A03  ;5190
COR001;01;CORTAR              ;1FU6561001A20  ;5191
COR001;01;CORTAR              ;1FU6561001A40  ;5192
COR001;01;CORTAR              ;1FU6561001A42  ;5193
COR001;01;CORTAR              ;1FU6561001A50  ;5194
COR001;01;CORTAR              ;1FU6650300005  ;5195
COR001;01;CORTAR              ;1FU6650301005  ;5196
COR001;01;CORTAR              ;1FU6650302005  ;5197
COR001;01;CORTAR              ;1FU6650303005  ;5198
COR001;01;CORTAR              ;1FU6650304005  ;5199
COR001;01;CORTAR              ;1FU6650305005  ;5200
COR001;01;CORTAR              ;1FU6650306008  ;5201
COR001;01;CORTAR              ;1FU6650307008  ;5202
COR001;01;CORTAR              ;1FU6800300005  ;5203
COR001;01;CORTAR              ;1FU6981800001  ;5204
BOR003;02;BORDAR              ;1FU6981800001  ;5205
FUR001;03;FURAR               ;1FU6981800001  ;5206
COR001;01;CORTAR              ;1FU7281000002  ;5207
COR001;01;CORTAR              ;1FU7281000004  ;5208
COR001;01;CORTAR              ;1FU7281000005  ;5209
COR001;01;CORTAR              ;1FU7281001002  ;5210
COR001;01;CORTAR              ;1FU7281001004  ;5211
COR001;01;CORTAR              ;1FU7281001005  ;5212
COR001;01;CORTAR              ;1FU7301000002  ;5213
COR001;01;CORTAR              ;1FU7301000004  ;5214
COR001;01;CORTAR              ;1FU7301000005  ;5215
COR001;01;CORTAR              ;1FU7301001002  ;5216
COR001;01;CORTAR              ;1FU7301001004  ;5217
COR001;01;CORTAR              ;1FU7301001005  ;5218
COR001;01;CORTAR              ;1FU7301002002  ;5219
COR001;01;CORTAR              ;1FU7301002004  ;5220
COR001;01;CORTAR              ;1FU7301002005  ;5221
COR001;01;CORTAR              ;1FU7301002040  ;5222
COR001;01;CORTAR              ;1FU7301002042  ;5223
COR001;01;CORTAR              ;1FU7301003002  ;5224
COR001;01;CORTAR              ;1FU7301003004  ;5225
COR001;01;CORTAR              ;1FU7301003005  ;5226
COR001;01;CORTAR              ;1FU7301003040  ;5227
COR001;01;CORTAR              ;1FU7301003042  ;5228
COR001;01;CORTAR              ;1FU7311001001  ;5229
COR001;01;CORTAR              ;1FU7311001002  ;5230
COR001;01;CORTAR              ;1FU7311800002  ;5231
BOR003;02;BORDAR              ;1FU7311800002  ;5232
FUR001;03;FURAR               ;1FU7311800002  ;5233
COR001;01;CORTAR              ;1FU7311800004  ;5234
BOR003;02;BORDAR              ;1FU7311800004  ;5235
FUR001;03;FURAR               ;1FU7311800004  ;5236
COR001;01;CORTAR              ;1FU7311800005  ;5237
BOR003;02;BORDAR              ;1FU7311800005  ;5238
FUR001;03;FURAR               ;1FU7311800005  ;5239
COR001;01;CORTAR              ;1FU7311800040  ;5240
BOR003;02;BORDAR              ;1FU7311800040  ;5241
FUR001;03;FURAR               ;1FU7311800040  ;5242
COR001;01;CORTAR              ;1FU7311800042  ;5243
BOR003;02;BORDAR              ;1FU7311800042  ;5244
FUR001;03;FURAR               ;1FU7311800042  ;5245
COR001;01;CORTAR              ;1FU7311800111  ;5246
BOR003;02;BORDAR              ;1FU7311800111  ;5247
FUR001;03;FURAR               ;1FU7311800111  ;5248
